"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2";"SMD_Packages:SOT-23";1;"TVS-2";;;
2;"C12,C2,C6,C7,C8,C10,C11,C13";"parts:SMD-0402";8;"100nF";;;
3;"C15,C14";"parts:SMD-0402";2;"8pF";;;
4;"AE1";"parts:ANTENNA-SMT-2.45GHz";1;"ANTENNA";;;
5;"C1,C4,C5,C9,C19";"SMD_Packages:SMD-0805";5;"10uF";;;
6;"C3";"parts:SMD-0402";1;"1uF";;;
7;"C16";"parts:SMD-0402";1;"22pF";;;
8;"C17";"parts:SMD-0402";1;"1.2pF";;;
9;"C18,R6";"parts:SMD-0402";2;"DNP";;;
10;"D1,D4";"LEDs:LED-0603";2;"LED";;;
11;"FB1";"parts:SMD-0402";1;"10uH";;;
12;"J1";"Pin_Headers:Pin_Header_Straight_1x02";1;"0.1" TH";;;
13;"J2";"Pin_Headers:Pin_Header_Straight_1x02";1;"BATTERY CONNECTOR";;;
14;"J4";"parts:CONN_02x05_0.05in";1;"CONN_02X05";;;
15;"J5";"Pin_Headers:Pin_Header_Straight_1x04";1;"CONN_01X04";;;
16;"J7";"parts:MODULE_HEADER_TESSEL";1;"MODULE_HEADER";;;
17;"JP1";"SMD_Packages:SMD-0201_r";1;"JUMPER";;;
18;"L1";"parts:VLS3015E";1;"VLS3015ET-2R2N";;;
19;"L2";"parts:SMD-0402";1;"1.8nH";;;
20;"R1,R7,R10";"parts:SMD-0402";3;"10kR";;;
21;"R4,R8";"parts:SMD-0402";2;"1kR";;;
22;"R5";"parts:SMD-0402";1;"0";;;
23;"SW1";"Pin_Headers:Pin_Header_Straight_1x02";1;"SW_PUSH";;;
24;"T1";"parts:EIA-0805";1;"2450BM15A0015";;;
25;"U2";"parts:DFN-10-0.5mm-2.5x2.5-1-EP";1;"TPS6303X";;;
26;"U3";"SMD_Packages:QFN-32-1EP";1;"SAMR21E";;;
27;"X1";"parts:TSX-3225";1;"CRYSTAL-4";;;
28;"J3";"parts:MICRO-USB-10104111";1;"USB-MICRO";;;
29;"H1,H2,H3,H4";"parts:M2-HOLE";4;"HOLE";;;
30;"U1";"parts:SC70JW-8";1;"AAT3681AIJS-4.2";;;
31;"SILK1";"parts:FRACTAL-LOGO-7.3mm";1;"logo";;;
32;"D3";"parts:SOD-323";1;"SD101CWS-TP";;;
33;"Q1";"SMD_Packages:SOT-23";1;"NX2301P,215";;;
34;"R9";"parts:SMD-0402";1;"5.23kR";;;
35;"R11";"parts:SMD-0402";1;"10.0kR";;;
36;"J6";"Pin_Headers:Pin_Header_Straight_1x03";1;"CONN_01X03";;;
